date,item,sales,store
2013-01-01,AUTOMOTIVE,0.0,1
2013-01-01,BABY CARE,0.0,1
2013-01-01,BEAUTY,2.0,1
2013-01-01,BEVERAGES,810.0,1
2013-01-01,BOOKS,0.0,1
2013-01-01,BREAD/BAKERY,180.589,1
2013-01-01,CELEBRATION,0.0,1
2013-01-01,CLEANING,186.0,1
2013-01-01,DAIRY,143.0,1
2013-01-01,DELI,71.09,1
2013-01-01,EGGS,46.0,1
2013-01-01,FROZEN FOODS,29.654999,1
2013-01-01,GROCERY I,700.0,1
2013-01-01,GROCERY II,15.0,1
2013-01-01,HARDWARE,0.0,1
2013-01-01,HOME AND KITCHEN I,0.0,1
2013-01-01,HOME AND KITCHEN II,0.0,1
2013-01-01,HOME APPLIANCES,0.0,1
2013-01-01,HOME CARE,0.0,1
2013-01-01,LADIESWEAR,0.0,1
2013-01-01,LAWN AND GARDEN,2.0,1
2013-01-01,LINGERIE,5.0,1
2013-01-01,"LIQUOR,WINE,BEER",105.0,1
2013-01-01,MAGAZINES,0.0,1
2013-01-01,MEATS,110.801,1
2013-01-01,PERSONAL CARE,25.0,1
2013-01-01,PET SUPPLIES,0.0,1
2013-01-01,PLAYERS AND ELECTRONICS,0.0,1
2013-01-01,POULTRY,42.637,1
2013-01-01,PREPARED FOODS,37.847,1
2013-01-01,PRODUCE,0.0,1
2013-01-01,SCHOOL AND OFFICE SUPPLIES,0.0,1
2013-01-01,SEAFOOD,0.0,1
2013-01-02,AUTOMOTIVE,255.0,1
2013-01-02,BABY CARE,0.0,1
2013-01-02,BEAUTY,207.0,1
2013-01-02,BEVERAGES,72092.0,1
2013-01-02,BOOKS,0.0,1
2013-01-02,BREAD/BAKERY,26246.319,1
2013-01-02,CELEBRATION,0.0,1
2013-01-02,CLEANING,74629.0,1
2013-01-02,DAIRY,23381.0,1
2013-01-02,DELI,15754.5,1
2013-01-02,EGGS,10932.0,1
2013-01-02,FROZEN FOODS,7115.388,1
2013-01-02,GROCERY I,202020.0,1
2013-01-02,GROCERY II,1476.0,1
2013-01-02,HARDWARE,46.0,1
2013-01-02,HOME AND KITCHEN I,0.0,1
2013-01-02,HOME AND KITCHEN II,0.0,1
2013-01-02,HOME APPLIANCES,21.0,1
2013-01-02,HOME CARE,0.0,1
2013-01-02,LADIESWEAR,0.0,1
2013-01-02,LAWN AND GARDEN,121.0,1
2013-01-02,LINGERIE,469.0,1
2013-01-02,"LIQUOR,WINE,BEER",2411.0,1
2013-01-02,MAGAZINES,0.0,1
2013-01-02,MEATS,20871.464028,1
2013-01-02,PERSONAL CARE,17204.0,1
2013-01-02,PET SUPPLIES,0.0,1
2013-01-02,PLAYERS AND ELECTRONICS,0.0,1
2013-01-02,POULTRY,13975.884938,1
